,Unnamed: 0,num_acidente,chv_localidade,data_acidente,uf_acidente,ano_acidente,mes_acidente,mes_ano_acidente,codigo_ibge,dia_semana,fase_dia,tp_acidente,cond_meteorologica,end_acidente,num_end_acidente,cep_acidente,bairro_acidente,km_via_acidente,latitude_acidente,longitude_acidente,hora_acidente,tp_rodovia,cond_pista,tp_cruzamento,tp_pavimento,tp_curva,lim_velocidade,tp_pista,ind_guardrail,ind_cantcentral,ind_acostamento,qtde_acidente,qtde_acid_com_obitos,qtde_envolvidos,qtde_feridosilesos,qtde_obitos
11618,3081019,2564047,RR1400100202209,2022-09-11,RR,2022,9,92022,1400100,DOMINGO,MANHA,COLISAO,NAO INFORMADO,R SOLON RODRIGUES PESSOA,1572,69317178,PINTOLANDIA,0,2.8102133,-60.7520812,64200,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11619,3081020,1607140,RR1400100202209,2022-09-22,RR,2022,9,92022,1400100,QUINTA-FEIRA,MANHA,COLISAO LATERAL,NAO INFORMADO,R CAP  CLOVIS DA COSTA,2361,69315666,SAO BENTO,0,2.7815602,-60.7141809,91000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11620,3081021,998457,RR1400100202209,2022-09-04,RR,2022,9,92022,1400100,DOMINGO,TARDE,COLISAO TRASEIRA,NAO INFORMADO,R SUICA,0,69311131,CAUAME,0,2.8462282,-60.7100809,174000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11621,3081022,2682888,RR1400100202209,2022-09-10,RR,2022,9,92022,1400100,SABADO,TARDE,COLISAO TRASEIRA,NAO INFORMADO,R PORAQUE,0,0,SANTA TEREZA,0,2.8281307,-60.7320775,164000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11622,3081023,1292599,RR1400100202209,2022-09-25,RR,2022,9,92022,1400100,DOMINGO,MADRUGADA,COLISAO TRANSVERSAL,NAO INFORMADO,R AUGUSTO CESAR L. MOURA,0,0,PARAVIANA,0,2.8206339,-60.6737553,1100,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11623,3081024,3809263,RR1400100202209,2022-09-21,RR,2022,9,92022,1400100,QUARTA-FEIRA,MANHA,COLISAO LATERAL,NAO INFORMADO,R DAS HORTENCIAS,0,69309500,JARDIM PRIMAVERA,0,2.8060459,-60.6952394,102500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11624,3081025,2172850,RR1400100202209,2022-09-19,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,TARDE,QUEDA,NAO INFORMADO,AV GLAYCON DE PAIVA,0,0,MECEJANA,0,2.816562,-60.684368,152500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0
11625,3081026,2616160,RR1400407202209,2022-09-25,RR,2022,9,92022,1400407,DOMINGO,NOITE,COLISAO LATERAL,NAO INFORMADO,BR 401,0,0,,0,3.8802297,-59.6329694,195400,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11626,3081027,2070286,RR1400472202209,2022-09-09,RR,2022,9,92022,1400472,SEXTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,VICINAL 01,0,69373000,,0,0.9439379,-60.42963,123000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11627,3081028,3866868,RR1400100202209,2022-09-01,RR,2022,9,92022,1400100,QUINTA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,R JUVENCIO JARICUNA DE ALBUQUERQUE,216,69312278,ASA BRANCA,0,2.8129149,-60.719939,195000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
